index,elapsed_s,wall_clock,filename,ok
0,0.0,2026-09-11T11:59:39,drift_000.bin,1
1,180.0,2026-09-11T12:02:39,drift_001.bin,1
2,360.0,2026-09-11T12:05:39,drift_002.bin,1
3,540.0,2026-09-11T12:08:39,drift_003.bin,1
4,720.0,2026-09-11T12:11:39,drift_004.bin,1
5,900.0,2026-09-11T12:14:39,drift_005.bin,1
6,1080.0,2026-09-11T12:17:39,drift_006.bin,1
7,1260.0,2026-09-11T12:20:39,drift_007.bin,1
8,1440.0,2026-09-11T12:23:39,drift_008.bin,1
9,1620.0,2026-09-11T12:26:39,drift_009.bin,1
10,1800.0,2026-09-11T12:29:39,drift_010.bin,1
11,1980.0,2026-09-11T12:32:39,drift_011.bin,1
12,2160.0,2026-09-11T12:35:39,drift_012.bin,1
13,2340.0,2026-09-11T12:38:39,drift_013.bin,1
14,2520.0,2026-09-11T12:41:39,drift_014.bin,1
15,2700.0,2026-09-11T12:44:39,drift_015.bin,1
16,2880.0,2026-09-11T12:47:39,drift_016.bin,1
17,3060.0,2026-09-11T12:50:39,drift_017.bin,1
18,3240.0,2026-09-11T12:53:39,drift_018.bin,1
19,3420.0,2026-09-11T12:56:39,drift_019.bin,1
20,3600.0,2026-09-11T12:59:39,drift_020.bin,1
21,3780.0,2026-09-11T13:02:39,drift_021.bin,1
22,3960.0,2026-09-11T13:05:39,drift_022.bin,1
23,4140.0,2026-09-11T13:08:39,drift_023.bin,1
24,4320.0,2026-09-11T13:11:39,drift_024.bin,1
25,4500.0,2026-09-11T13:14:39,drift_025.bin,1
26,4680.0,2026-09-11T13:17:39,drift_026.bin,1
27,4860.0,2026-09-11T13:20:39,drift_027.bin,1
28,5040.0,2026-09-11T13:23:39,drift_028.bin,1
29,5220.0,2026-09-11T13:26:39,drift_029.bin,1
30,5400.0,2026-09-11T13:29:39,drift_030.bin,1
31,5580.0,2026-09-11T13:32:39,drift_031.bin,1
32,5760.0,2026-09-11T13:35:39,drift_032.bin,1
33,5940.0,2026-09-11T13:38:39,drift_033.bin,1
34,6120.0,2026-09-11T13:41:39,drift_034.bin,1
35,6300.0,2026-09-11T13:44:39,drift_035.bin,1
36,6480.0,2026-09-11T13:47:39,drift_036.bin,1
37,6660.0,2026-09-11T13:50:39,drift_037.bin,1
38,6840.0,2026-09-11T13:53:39,drift_038.bin,1
39,7020.0,2026-09-11T13:56:39,drift_039.bin,1
40,7200.0,2026-09-11T13:59:39,drift_040.bin,1
41,7380.0,2026-09-11T14:02:39,drift_041.bin,1
42,7560.0,2026-09-11T14:05:39,drift_042.bin,1
43,7740.0,2026-09-11T14:08:39,drift_043.bin,1
44,7920.0,2026-09-11T14:11:39,drift_044.bin,1
45,8100.0,2026-09-11T14:14:39,drift_045.bin,1
46,8280.0,2026-09-11T14:17:39,drift_046.bin,1
47,8460.0,2026-09-11T14:20:39,drift_047.bin,1
48,8640.0,2026-09-11T14:23:39,drift_048.bin,1
49,8820.0,2026-09-11T14:26:39,drift_049.bin,1
50,9000.0,2026-09-11T14:29:39,drift_050.bin,1
51,9180.0,2026-09-11T14:32:39,drift_051.bin,1
52,9360.0,2026-09-11T14:35:39,drift_052.bin,1
53,9540.0,2026-09-11T14:38:39,drift_053.bin,1
54,9720.0,2026-09-11T14:41:39,drift_054.bin,1
55,9900.0,2026-09-11T14:44:39,drift_055.bin,1
56,10080.0,2026-09-11T14:47:39,drift_056.bin,1
57,10260.0,2026-09-11T14:50:39,drift_057.bin,1
58,10440.0,2026-09-11T14:53:39,drift_058.bin,1
59,10620.0,2026-09-11T14:56:39,drift_059.bin,1
60,10800.0,2026-09-11T14:59:39,drift_060.bin,1
61,10980.0,2026-09-11T15:02:39,drift_061.bin,1
62,11160.0,2026-09-11T15:05:39,drift_062.bin,1
63,11340.0,2026-09-11T15:08:39,drift_063.bin,1
64,11520.0,2026-09-11T15:11:39,drift_064.bin,1
65,11700.0,2026-09-11T15:14:39,drift_065.bin,1
66,11880.0,2026-09-11T15:17:39,drift_066.bin,1
67,12060.0,2026-09-11T15:20:39,drift_067.bin,1
68,12240.0,2026-09-11T15:23:39,drift_068.bin,1
69,12420.0,2026-09-11T15:26:39,drift_069.bin,1
70,12600.0,2026-09-11T15:29:39,drift_070.bin,1
71,12780.0,2026-09-11T15:32:39,drift_071.bin,1
72,12960.0,2026-09-11T15:35:39,drift_072.bin,1
73,13140.0,2026-09-11T15:38:39,drift_073.bin,1
74,13320.0,2026-09-11T15:41:39,drift_074.bin,1
75,13500.0,2026-09-11T15:44:39,drift_075.bin,1
76,13680.0,2026-09-11T15:47:39,drift_076.bin,1
77,13860.0,2026-09-11T15:50:39,drift_077.bin,1
78,14040.0,2026-09-11T15:53:39,drift_078.bin,1
79,14220.0,2026-09-11T15:56:39,drift_079.bin,1
80,14400.0,2026-09-11T15:59:39,drift_080.bin,1
81,14580.0,2026-09-11T16:02:39,drift_081.bin,1
82,14760.0,2026-09-11T16:05:39,drift_082.bin,1
83,14940.0,2026-09-11T16:08:39,drift_083.bin,1
84,15120.0,2026-09-11T16:11:39,drift_084.bin,1
85,15300.0,2026-09-11T16:14:39,drift_085.bin,1
86,15480.0,2026-09-11T16:17:39,drift_086.bin,1
87,15660.0,2026-09-11T16:20:39,drift_087.bin,1
88,15840.0,2026-09-11T16:23:39,drift_088.bin,1
89,16020.0,2026-09-11T16:26:39,drift_089.bin,1
90,16200.0,2026-09-11T16:29:39,drift_090.bin,1
91,16380.0,2026-09-11T16:32:39,drift_091.bin,1
92,16560.0,2026-09-11T16:35:39,drift_092.bin,1
93,16740.0,2026-09-11T16:38:39,drift_093.bin,1
94,16920.0,2026-09-11T16:41:39,drift_094.bin,1
95,17100.0,2026-09-11T16:44:39,drift_095.bin,1
96,17280.0,2026-09-11T16:47:39,drift_096.bin,1
97,17460.0,2026-09-11T16:50:39,drift_097.bin,1
98,17640.0,2026-09-11T16:53:39,drift_098.bin,1
99,17820.0,2026-09-11T16:56:39,drift_099.bin,1
100,18000.0,2026-09-11T16:59:39,drift_100.bin,1
101,18180.0,2026-09-11T17:02:39,drift_101.bin,1
102,18360.0,2026-09-11T17:05:39,drift_102.bin,1
103,18540.0,2026-09-11T17:08:39,drift_103.bin,1
104,18720.0,2026-09-11T17:11:39,drift_104.bin,1
105,18900.0,2026-09-11T17:14:39,drift_105.bin,1
106,19080.0,2026-09-11T17:17:39,drift_106.bin,1
107,19260.0,2026-09-11T17:20:39,drift_107.bin,1
108,19440.0,2026-09-11T17:23:39,drift_108.bin,1
109,19620.0,2026-09-11T17:26:39,drift_109.bin,1
110,19800.0,2026-09-11T17:29:39,drift_110.bin,1
111,19980.0,2026-09-11T17:32:39,drift_111.bin,1
112,20160.0,2026-09-11T17:35:39,drift_112.bin,1
113,20340.0,2026-09-11T17:38:39,drift_113.bin,1
114,20520.0,2026-09-11T17:41:39,drift_114.bin,1
115,20700.0,2026-09-11T17:44:39,drift_115.bin,1
116,20880.0,2026-09-11T17:47:39,drift_116.bin,1
117,21060.0,2026-09-11T17:50:39,drift_117.bin,1
118,21240.0,2026-09-11T17:53:39,drift_118.bin,1
119,21420.0,2026-09-11T17:56:39,drift_119.bin,1
120,21600.0,2026-09-11T17:59:39,drift_120.bin,1
